,winner,loser,weight class,method,win_round,win time,winner age,loser age,winner_wins,winner loses,loser wins,loser loses,winner height,loser height,winner reach,loser reach,winner leg reach,loser leg reach,Event name,date
0,Ketlen Vieira,Holly Holm,Women's Bantamweight,"Decision (split) (47–48, 48–47, 48–47)",5,5:00,30,40,12,2,14,5,68.00,68.00,68.00,69.00,39.50,38.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
1,Michel Pereira,Santiago Ponzinibbio,Welterweight,"Decision (split) (28–29, 30–27, 29–28)",3,5:00,28,35,27,11,28,5,73.00,72.00,73.00,73.00,42.00,40.50,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
2,Chidi Njokuani,Duško Todorović,Middleweight,KO (elbow),1,4:48,33,28,21,7,11,2,75.00,73.00,80.00,74.00,45.00,41.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
3,Tabatha Ricci,Polyana Viana,Women's Strawweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,27,29,6,1,12,4,61.00,65.00,61.00,67.00,36.00,38.50,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
4,Park Jun-yong,Eryk Anders,Middleweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,0,35,13,5,14,6,0,73.00,0,75.00,0,43.50,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
5,Uroš Medić,Omar Morales,Lightweight,TKO (punches),2,3:05,29,36,7,1,11,2,73.00,71.00,71.00,73.00,43.00,42.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
6,Jonathan Martinez,Vince Morales,Bantamweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,28,31,15,4,11,5,68.00,67.00,70.00,70.00,37.50,36.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
7,Chase Hooper,Felipe Colares,Featherweight,TKO (punches),3,3:00,22,28,10,2,10,3,73.00,68.00,74.00,69.50,41.00,39.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
8,Sam Hughes,Elise Reed,Women's Strawweight,TKO (elbow and punches),3,3:52,29,29,6,4,5,1,65.00,63.00,64.00,63.00,36.00,36.00,UFC Fight Night: Holm vs. Vieira,"May 21, 2022"
9,Jan Błachowicz,Aleksandar Rakić,Light Heavyweight,TKO (knee injury),3,1:11,0,30,28,9,14,2,0,76.00,0,78.00,0,46.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
10,Ryan Spann,Ion Cuțelaba,Light Heavyweight,Submission (guillotine choke),1,2:22,30,28,19,7,16,6,77.00,73.00,79.00,75.00,45.50,41.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
11,Davey Grant,Louis Smolka,Bantamweight,KO (punches),3,0:49,36,30,13,6,17,8,68.00,69.00,69.00,68.50,40.00,37.50,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
12,Katlyn Chookagian,Amanda Ribas,Women's Flyweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,33,28,17,4,11,2,69.00,64.00,68.00,66.00,42.00,37.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
13,Viviane Araújo,Andrea Lee,Women's Flyweight,"Decision (unanimous) (29–28, 29–27, 29–27)",3,5:00,35,33,10,3,13,5,64.00,66.00,68.00,69.50,36.50,37.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
14,Michael Johnson,Alan Patrick,Lightweight,KO (punches),2,3:22,35,38,19,17,15,3,70.00,70.00,73.50,74.00,41.00,42.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
15,Virna Jandiroba,Angela Hill,Women's Strawweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,33,37,17,3,13,11,63.00,63.00,64.00,64.50,37.00,38.50,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
16,Andre Petroski,Nick Maximov,Middleweight,Technical Submission (anaconda choke),1,1:16,30,24,7,1,8,0,72.00,72.00,73.00,76.00,39.00,42.00,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022"
17,Charles Oliveira,Justin Gaethje,Lightweight,Submission (rear-naked choke),1,3:22,32,33,32,8,23,3,70.00,71.00,74.00,70.00,41.00,40.00,UFC 274,"May 7, 2022"
18,Carla Esparza,Rose Namajunas (c),Women's Strawweight,"Decision (split) (47–48, 49–46, 48–47)",5,5:00,34,0,18,6,11,4,61.00,0,63.00,0,35.00,0,UFC 274,"May 7, 2022"
19,Michael Chandler,Tony Ferguson,Lightweight,KO (front kick),2,0:17,36,38,22,7,25,6,68.00,71.00,71.50,76.50,37.50,40.50,UFC 274,"May 7, 2022"
20,Ovince Saint Preux,Maurício Rua,Light Heavyweight,"Decision (split) (28–29, 29–28, 30–27)",3,5:00,39,40,25,16,27,12,75.00,73.00,80.00,76.00,45.00,40.50,UFC 274,"May 7, 2022"
21,Randy Brown,Khaos Williams,Welterweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,31,28,14,4,13,2,75.00,72.00,78.00,77.00,45.50,41.00,UFC 274,"May 7, 2022"
22,Francisco Trinaldo,Danny Roberts,Welterweight,"Decision (unanimous) (29–28, 30–27, 30–26)",3,5:00,43,34,27,8,18,5,69.00,73.00,70.00,74.00,40.50,42.00,UFC 274,"May 7, 2022"
23,Macy Chiasson,Norma Dumont,Catchweight (146.5 lb),"Decision (split) (30–27, 28–29, 30–27)",3,5:00,30,31,7,2,7,1,71.00,67.00,72.00,67.00,42.00,38.50,UFC 274,"May 7, 2022"
24,Brandon Royval,Matt Schnell,Flyweight,Submission (guillotine choke),1,2:14,29,32,13,6,15,5,69.00,68.00,68.00,70.00,38.50,38.00,UFC 274,"May 7, 2022"
25,Blagoy Ivanov,Marcos Rogério de Lima,Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,35,36,18,4,19,7,71.00,73.00,73.00,75.00,42.00,43.00,UFC 274,"May 7, 2022"
26,Tracy Cortez,Melissa Gatto,Women's Flyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,28,26,9,1,8,0,65.00,65.00,65.50,69.00,38.50,38.00,UFC 274,"May 7, 2022"
27,Lupita Godinez,Ariane Carnelossi,Women's Strawweight,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00,28,29,7,2,14,2,62.00,62.00,61.00,61.50,35.00,35.00,UFC 274,"May 7, 2022"
28,Marlon Vera,Rob Font,Catchweight (138.5 lb),"Decision (unanimous) (48–47, 49–46, 49–46)",5,5:00,29,34,18,7,19,5,68.00,68.00,70.50,71.50,40.50,38.50,UFC on ESPN: Font vs. Vera,"April 30, 2022"
29,Andrei Arlovski,Jake Collier,Heavyweight,"Decision (split) (27–30, 29–28, 29–28)",3,5:00,43,33,33,20,13,6,75.00,75.00,77.00,78.50,44.00,43.50,UFC on ESPN: Font vs. Vera,"April 30, 2022"
30,Grant Dawson,Jared Gordon,Lightweight,Submission (rear-naked choke),3,4:11,28,33,17,1,18,4,70.00,69.00,72.00,68.00,40.00,38.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
31,Darren Elkins,Tristan Connelly,Featherweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,37,36,26,10,14,7,70.00,70.00,71.00,68.00,39.00,41.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
32,Krzysztof Jotko,Gerald Meerschaert,Middleweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,32,34,23,5,34,14,73.00,73.00,77.00,77.50,41.00,40.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
33,Alexander Romanov,Chase Sherman,Heavyweight,Submission (americana),1,2:11,31,32,15,0,15,9,74.00,76.00,75.00,78.00,43.00,43.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
34,Shanna Young,Gina Mazany,Women's Flyweight,TKO (punches),2,3:11,31,33,7,4,7,5,67.00,66.00,65.00,68.50,39.00,38.00,UFC on ESPN: Font vs. Vera,"April 30, 2022"
35,Jéssica Andrade,Amanda Lemos,Women's Strawweight,Submission (standing arm-triangle choke),1,3:13,30,34,22,9,11,1,61.50,64.00,62.00,65.00,35.00,36.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
36,Claudio Puelles,Clay Guida,Lightweight,Submission (kneebar),1,3:01,26,40,11,2,37,21,70.00,67.00,72.00,70.00,40.00,38.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
37,Maycee Barber,Montana De La Rosa,Women's Flyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,23,27,9,2,12,6,65.00,67.00,65.00,68.00,38.00,37.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
38,Charles Jourdain,Lando Vannata,Featherweight,Submission (guillotine choke),1,2:32,26,30,12,4,12,5,69.00,69.00,69.00,71.00,39.00,39.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
39,Marc-André Barriault,Jordan Wright,Catchweight (190 lb),Submission (guillotine choke),1,2:36,32,30,13,5,12,2,73.00,74.00,74.00,77.00,42.50,41.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
40,Sergey Khandozhko,Dwight Grant,Welterweight,TKO (punches),2,4:15,29,37,26,6,11,4,73.00,73.00,74.00,76.00,40.00,44.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
41,Tyson Pedro,Ike Villanueva,Light Heavyweight,KO (leg kick and punches),1,4:55,30,0,7,3,18,13,75.00,0,79.00,0,43.50,0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
42,Philipe Lins,Marcin Prachnio,Light Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,36,33,14,5,15,5,74.00,75.00,78.00,74.00,42.50,42.00,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022"
43,Belal Muhammad,Vicente Luque,Welterweight,"Decision (unanimous) (49–46, 49–46, 48–47)",5,5:00,33,30,20,3,21,7,71.00,71.00,72.00,75.50,40.00,38.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
44,André Fialho,Miguel Baeza,Welterweight,TKO (punches),1,4:39,28,29,14,4,10,2,72.00,74.00,74.00,74.50,41.00,41.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
45,Mayra Bueno Silva,Wu Yanan,Women's Bantamweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,30,26,7,2,12,4,66.00,68.00,66.50,66.00,39.00,39.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
46,Devin Clark,William Knight,Heavyweight,TKO (punches),3,3:21,32,34,12,6,11,3,72.00,70.00,75.00,73.00,41.00,40.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
47,Pannie Kianzad,Lina Länsberg,Women's Bantamweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,30,40,15,6,10,5,67.00,67.00,68.00,65.50,39.00,39.50,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
48,Rafa García,Jesse Ronson,Lightweight,Submission (rear-naked choke),2,4:50,27,37,13,2,21,10,67.00,70.00,70.00,70.00,37.00,39.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
49,Alateng Heili,Kevin Croom,Bantamweight,TKO (punches),1,0:47,0,34,14,8,21,14,0,71.00,0,73.50,0,39.00,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022"
50,Alexander Volkanovski (c),Chan Sung Jung,Featherweight,TKO (punches),4,0:45,0,35,23,1,17,6,0,67.00,0,72.00,0,38.50,UFC 273,"April 9, 2022"
51,Aljamain Sterling (c),Petr Yan (ic),Bantamweight,"Decision (split) (48–47, 47–48, 48–47)",5,5:00,0,0,20,3,16,2,0,0,0,0,0,0,UFC 273,"April 9, 2022"
52,Khamzat Chimaev,Gilbert Burns,Welterweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,27,35,10,0,20,4,74.00,70.00,75.00,71.00,40.00,40.00,UFC 273,"April 9, 2022"
53,Mark Madsen,Vinc Pichel,Lightweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,37,39,11,0,14,2,68.00,70.00,72.00,72.00,39.00,40.50,UFC 273,"April 9, 2022"
54,Raquel Pennington,Aspen Ladd,Women's Bantamweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,33,27,13,8,9,2,67.00,66.00,67.50,66.00,37.00,38.50,UFC 273,"April 9, 2022"
55,Alexey Oleynik,Jared Vanderaa,Heavyweight,Submission (scarf hold),1,3:39,0,30,59,16,12,7,0,76.00,0,80.00,0,43.00,UFC 273,"April 9, 2022"
56,Curtis Blaydes,Chris Daukaus,Heavyweight,TKO (punches),2,0:17,31,32,15,3,12,4,76.00,75.00,80.00,76.00,46.00,43.00,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
57,Alexa Grasso,Joanne Wood,Women's Flyweight,Submission (rear-naked choke),1,3:57,28,36,13,3,15,7,65.00,66.00,66.00,65.50,37.50,38.50,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
58,Bryan Barberena,Matt Brown,Welterweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,32,41,16,8,23,18,72.00,72.00,72.50,75.00,39.00,43.00,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
59,Kai Kara-France,Askar Askarov,Flyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,29,29,23,9,14,0,64.00,66.00,69.00,67.00,37.00,36.00,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
60,Neil Magny,Max Griffin,Welterweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,34,36,25,8,18,8,75.00,71.00,80.00,76.00,45.00,41.00,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
61,Sara McMann,Karol Rosa,Women's Bantamweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,41,27,12,6,15,3,66.00,65.00,66.00,67.50,37.00,36.00,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
62,Chris Gutiérrez,Danaa Batgerel,Bantamweight,TKO (spinning back fist and elbows),2,2:34,30,32,17,4,12,2,69.00,67.00,67.00,70.00,39.00,36.50,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
63,Manon Fiorot,Jennifer Maia,Women's Flyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,32,33,8,1,19,8,67.00,64.00,65.00,64.00,38.00,38.00,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
64,Matheus Nicolau,David Dvořák,Flyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,29,29,17,2,20,3,66.00,65.00,66.00,68.50,38.00,37.00,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022"
65,Tom Aspinall,Alexander Volkov,Heavyweight,Submission (straight armbar),1,3:45,28,33,11,2,34,9,77.00,79.00,78.00,80.00,44.00,47.50,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
66,Arnold Allen,Dan Hooker,Featherweight,TKO (punches and elbows),1,2:33,28,32,17,1,21,11,68.00,72.00,70.00,75.00,39.00,42.50,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
67,Paddy Pimblett,Kazula Vargas,Lightweight,Submission (rear-naked choke),1,3:50,27,36,17,3,12,4,70.00,68.00,73.00,71.50,40.00,37.00,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
68,Gunnar Nelson,Takashi Sato,Welterweight,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00,33,31,17,5,16,4,71.00,70.00,72.00,73.00,39.50,41.00,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
69,Molly McCann,Luana Carolina,Women's Flyweight,KO (spinning back elbow),3,1:52,31,28,11,4,8,2,64.00,66.00,62.00,69.00,37.00,38.50,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
70,Ilia Topuria,Jai Herbert,Lightweight,KO (punches),2,1:07,25,34,11,0,11,3,67.00,73.00,69.00,77.00,37.00,41.00,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
71,Makwan Amirkhani,Mike Grundy,Featherweight,Technical Submission (anaconda choke),1,0:57,33,35,16,7,12,3,70.00,67.00,72.00,72.00,41.00,38.00,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
72,Sergei Pavlovich,Shamil Abdurakhimov,Heavyweight,TKO (punches),1,4:03,29,40,14,1,20,6,75.00,75.00,84.00,76.00,45.00,41.50,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
73,Paul Craig,Nikita Krylov,Light Heavyweight,Submission (triangle choke),1,3:57,34,30,15,4,27,8,75.50,75.00,76.00,77.50,43.00,44.50,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
74,Jack Shore,Timur Valiev,Bantamweight,"Decision (unanimous) (29–28, 29-28, 29–27)",3,5:00,26,32,15,0,18,2,68.00,66.00,71.00,67.00,40.00,38.00,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022"
75,Magomed Ankalaev,Thiago Santos,Light Heavyweight,"Decision (unanimous) (49–46, 49–46, 48–47)",5,5:00,29,38,16,1,22,9,75.00,74.00,75.00,76.00,46.00,42.50,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022"
76,Song Yadong,Marlon Moraes,Bantamweight,KO (punches),1,2:06,24,33,18,5,23,9,68.00,66.00,67.00,67.00,38.00,37.00,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022"
77,Sodiq Yusuff,Alex Caceres,Featherweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,28,33,11,2,19,12,69.00,70.00,71.00,73.50,40.00,41.00,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022"
78,Khalil Rountree Jr.,Karl Roberson,Light Heavyweight,TKO (body kick and punches),2,0:25,32,31,9,5,9,4,73.00,73.00,76.50,74.00,44.00,41.00,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022"
79,Drew Dober,Terrance McKinney,Lightweight,TKO (knee and punches),1,3:17,33,27,23,11,12,3,68.00,70.00,70.00,73.50,35.00,40.00,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022"
80,JJ Aldrich,Gillian Robertson,Women's Flyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,29,26,10,4,10,6,65.00,65.00,67.50,63.00,37.00,35.50,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022"
81,Miranda Maverick,Sabina Mazo,Women's Flyweight,Submission (rear-naked choke),2,2:15,24,25,9,4,9,3,63.50,67.00,65.50,70.00,38.00,40.50,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022"
82,Colby Covington,Jorge Masvidal,Welterweight,"Decision (unanimous) (49–46, 50–44, 50–45)",5,5:00,34,37,16,3,35,15,71.00,71.00,72.00,74.00,41.00,39.50,UFC 272,"March 5, 2022"
83,Rafael dos Anjos,Renato Moicano,Catchweight (160 lb),"Decision (unanimous) (49–45, 49–44, 50–44)",5,5:00,37,32,30,13,16,4,68.00,71.00,70.00,72.00,38.00,42.50,UFC 272,"March 5, 2022"
84,Bryce Mitchell,Edson Barboza,Featherweight,"Decision (unanimous) (30–25, 30–26, 30–27)",3,5:00,27,36,14,0,22,10,70.00,71.00,70.00,75.00,40.00,41.00,UFC 272,"March 5, 2022"
85,Kevin Holland,Alex Oliveira,Welterweight,TKO (elbows),2,0:38,29,34,21,7,22,11,75.00,71.00,81.00,76.50,40.00,43.00,UFC 272,"March 5, 2022"
86,Jalin Turner,Jamie Mullarkey,Lightweight,TKO (punches),2,0:46,26,27,11,5,14,4,75.00,72.00,77.00,74.00,46.00,39.00,UFC 272,"March 5, 2022"
87,Marina Rodriguez,Yan Xiaonan,Women's Strawweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,34,32,15,1,15,2,66.00,65.00,65.00,63.00,38.50,37.00,UFC 272,"March 5, 2022"
88,Nicolae Negumereanu,Kennedy Nzechukwu,Light Heavyweight,"Decision (split) (27–29, 29–27, 29–27)",3,5:00,27,29,11,1,9,2,72.50,77.00,78.00,83.00,40.00,47.00,UFC 272,"March 5, 2022"
89,Maryna Moroz,Mariya Agapova,Women's Flyweight,Submission (arm-triangle choke),2,3:27,30,24,10,3,10,2,67.00,66.00,67.00,68.50,37.00,38.50,UFC 272,"March 5, 2022"
90,Tim Elliott,Tagir Ulanbekov,Flyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,35,30,17,12,14,1,67.00,67.00,66.00,70.00,38.00,39.00,UFC 272,"March 5, 2022"
91,Ľudovít Klein,Devonte Smith,Lightweight,"Decision (split) (28–29, 29–28, 30–27)",3,5:00,27,28,17,4,11,3,67.00,69.00,72.50,76.00,41.00,41.00,UFC 272,"March 5, 2022"
92,Islam Makhachev,Bobby Green,Catchweight (160 lb),TKO (punches),1,3:23,30,35,21,1,29,12,70.00,70.00,70.50,71.00,40.50,40.00,UFC Fight Night: Makhachev vs. Green,"February 26, 2022"
93,Wellington Turman,Misha Cirkunov,Middleweight,Submission (armbar),2,1:29,25,36,17,5,15,7,72.00,75.00,72.00,77.00,41.00,43.50,UFC Fight Night: Makhachev vs. Green,"February 26, 2022"
94,Priscila Cachoeira,Ji Yeon Kim,Women's Flyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,33,32,10,4,9,4,67.00,67.00,65.00,72.00,37.00,37.50,UFC Fight Night: Makhachev vs. Green,"February 26, 2022"
95,Arman Tsarukyan,Joel Álvarez,Lightweight,TKO (punches),2,1:57,25,29,17,2,19,2,67.00,74.00,72.50,77.00,39.50,42.00,UFC Fight Night: Makhachev vs. Green,"February 26, 2022"
96,Ignacio Bahamondes,Rong Zhu,Catchweight (160 lb),Submission (brabo choke),3,1:40,24,0,12,4,21,4,75.00,0,75.50,0,42.00,0,UFC Fight Night: Makhachev vs. Green,"February 26, 2022"
97,Terrance McKinney,Farès Ziam,Lightweight,Submission (rear-naked choke),1,2:11,27,25,11,3,12,3,70.00,73.00,73.50,75.00,40.00,42.00,UFC Fight Night: Makhachev vs. Green,"February 26, 2022"
98,Jonathan Martinez,Alejandro Pérez,Featherweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,28,32,14,4,22,8,68.00,66.00,70.00,67.00,37.50,36.50,UFC Fight Night: Makhachev vs. Green,"February 26, 2022"
99,Jamahal Hill,Johnny Walker,Light Heavyweight,KO (punch),1,2:55,30,29,9,1,18,6,76.00,78.00,79.00,82.00,43.50,44.50,UFC Fight Night: Walker vs. Hill,"February 19, 2022"
100,Kyle Daukaus,Jamie Pickett,Catchweight (195 lb),Submission (D'Arce choke),1,4:59,29,33,10,2,13,6,75.00,74.00,76.00,82.00,43.00,45.00,UFC Fight Night: Walker vs. Hill,"February 19, 2022"
101,Parker Porter,Alan Baudot,Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,37,34,11,6,8,2,72.00,75.00,75.00,79.00,41.00,44.00,UFC Fight Night: Walker vs. Hill,"February 19, 2022"
102,Joaquin Buckley,Abdul Razak Alhassan,Middleweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,27,36,13,4,11,4,70.00,70.00,76.00,73.00,40.00,39.00,UFC Fight Night: Walker vs. Hill,"February 19, 2022"
103,Stephanie Egger,Jessica-Rose Clark,Women's Bantamweight,Submission (armbar),1,3:44,33,34,6,2,11,6,66.00,65.00,68.00,64.50,38.50,39.00,UFC Fight Night: Walker vs. Hill,"February 19, 2022"
104,Gloria de Paula,Diana Belbiţă,Women's Strawweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,26,25,5,4,14,6,65.00,67.00,67.50,68.00,37.00,38.00,UFC Fight Night: Walker vs. Hill,"February 19, 2022"
105,Israel Adesanya (c),Robert Whittaker,Middleweight,"Decision (unanimous) (48–47, 48–47, 49–46)",5,5:00,0,31,21,1,23,5,0,72.00,0,73.50,0,43.00,UFC 271,"February 12, 2022"
106,Tai Tuivasa,Derrick Lewis,Heavyweight,KO (elbow),2,1:40,29,37,13,3,26,8,74.00,75.00,75.00,79.00,39.50,43.50,UFC 271,"February 12, 2022"
107,Jared Cannonier,Derek Brunson,Middleweight,KO (elbows),2,4:29,38,38,14,5,23,7,71.00,73.00,77.50,77.00,41.50,43.00,UFC 271,"February 12, 2022"
108,Renato Moicano,Alexander Hernandez,Lightweight,Submission (rear-naked choke),2,1:23,32,29,15,4,13,4,71.00,69.00,72.00,72.00,42.50,39.50,UFC 271,"February 12, 2022"
109,Bobby Green,Nasrat Haqparast,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,35,26,28,12,13,4,70.00,70.00,71.00,72.00,40.00,41.00,UFC 271,"February 12, 2022"
110,Andrei Arlovski,Jared Vanderaa,Heavyweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,43,30,32,20,12,6,75.00,76.00,77.00,80.00,44.00,43.00,UFC 271,"February 12, 2022"
111,Casey O'Neill,Roxanne Modafferi,Women's Flyweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,0,39,8,0,25,19,0,67.00,0,69.00,0,38.00,UFC 271,"February 12, 2022"
112,Douglas Silva de Andrade,Sergey Morozov,Bantamweight,Technical Submission (rear-naked choke),2,3:24,36,32,27,4,17,4,67.00,66.00,68.50,67.00,37.50,37.00,UFC 271,"February 12, 2022"
113,Maxim Grishin,William Knight,Heavyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,37,34,31,9,11,2,75.00,70.00,78.00,73.00,43.50,40.00,UFC 271,"February 12, 2022"
114,Sean Strickland,Jack Hermansson,Middleweight,"Decision (split) (49–46, 47–48, 49–46)",5,5:00,31,33,24,3,22,6,73.00,73.00,76.00,77.50,41.50,46.50,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
115,Nick Maximov,Punahele Soriano,Middleweight,"Decision (split) (28–29, 30–27, 29–28)",3,5:00,24,29,7,0,8,1,72.00,71.00,76.00,72.50,42.00,41.00,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
116,Shavkat Rakhmonov,Carlston Harris,Welterweight,KO (spinning hook kick and punches),1,4:10,27,34,14,0,17,4,73.00,72.00,77.00,76.00,42.00,42.00,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
117,Brendan Allen,Sam Alvey,Light Heavyweight,Submission (rear-naked choke),2,2:10,26,35,17,5,33,16,74.00,74.00,75.00,75.50,42.00,42.00,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
118,Julian Erosa,Steven Peterson,Catchweight (149 lb),"Decision (split) (28–29, 29–28, 29–28)",3,5:00,32,31,26,9,19,9,73.00,70.00,74.50,70.00,41.00,39.50,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
119,John Castañeda,Miles Johns,Bantamweight,Technical Submission (arm-triangle choke),3,1:38,30,27,18,5,12,1,66.00,67.00,71.00,68.00,37.00,37.50,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
120,Hakeem Dawodu,Michael Trizano,Featherweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,30,30,12,2,9,1,68.00,71.00,73.50,71.00,40.50,40.00,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
121,Chidi Njokuani,Marc-André Barriault,Middleweight,KO (punches),1,0:16,33,32,20,7,13,4,75.00,73.00,80.00,74.00,45.00,42.50,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022"
