,Unnamed: 0,winner,loser,weight class,method,win_round,win time,winner age,loser age,winner_wins,winner loses,loser wins,loser loses,winner height,loser height,winner reach,loser reach,winner leg reach,loser leg reach,Event name,date,method category,weight class category
0,0,Ketlen Vieira,Holly Holm,women's bantamweight,decision,5.0,300,30.0,40.0,12,2,14,5,68.0,68.0,68.0,69.0,39.5,38.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,9
1,1,Michel Pereira,Santiago Ponzinibbio,welterweight,decision,3.0,300,28.0,35.0,27,11,28,5,73.0,72.0,73.0,73.0,42.0,40.5,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,8
2,2,Chidi Njokuani,Duško Todorović,middleweight,ko,1.0,288,33.0,28.0,21,7,11,2,75.0,73.0,80.0,74.0,45.0,41.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",3,7
3,3,Tabatha Ricci,Polyana Viana,women's strawweight,decision,3.0,300,27.0,29.0,6,1,12,4,61.0,65.0,61.0,67.0,36.0,38.5,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,12
4,4,Park Jun-yong,Eryk Anders,middleweight,decision,3.0,300,29.0,35.0,13,5,14,6,71.0,73.0,72.0,75.0,40.0,43.5,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,7
5,5,Uroš Medić,Omar Morales,lightweight,tko,2.0,185,29.0,36.0,7,1,11,2,73.0,71.0,71.0,73.0,43.0,42.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",8,6
6,6,Jonathan Martinez,Vince Morales,bantamweight,decision,3.0,300,28.0,31.0,15,4,11,5,68.0,67.0,70.0,70.0,37.5,36.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",0,0
7,7,Chase Hooper,Felipe Colares,featherweight,tko,3.0,180,22.0,28.0,10,2,10,3,73.0,68.0,74.0,69.5,41.0,39.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",8,2
8,8,Sam Hughes,Elise Reed,women's strawweight,tko,3.0,232,29.0,29.0,6,4,5,1,65.0,63.0,64.0,63.0,36.0,36.0,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",8,12
9,9,Jan Błachowicz,Aleksandar Rakić,light heavyweight,tko,3.0,71,29.0,30.0,28,9,14,2,71.0,76.0,72.0,78.0,40.0,46.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",8,5
10,10,Ryan Spann,Ion Cuțelaba,light heavyweight,submission,1.0,142,30.0,28.0,19,7,16,6,77.0,73.0,79.0,75.0,45.5,41.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",7,5
11,11,Davey Grant,Louis Smolka,bantamweight,ko,3.0,49,36.0,30.0,13,6,17,8,68.0,69.0,69.0,68.5,40.0,37.5,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",3,0
12,12,Katlyn Chookagian,Amanda Ribas,women's flyweight,decision,3.0,300,33.0,28.0,17,4,11,2,69.0,64.0,68.0,66.0,42.0,37.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",0,11
13,13,Viviane Araújo,Andrea Lee,women's flyweight,decision,3.0,300,35.0,33.0,10,3,13,5,64.0,66.0,68.0,69.5,36.5,37.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",0,11
14,14,Michael Johnson,Alan Patrick,lightweight,ko,2.0,202,35.0,38.0,19,17,15,3,70.0,70.0,73.5,74.0,41.0,42.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",3,6
15,15,Virna Jandiroba,Angela Hill,women's strawweight,decision,3.0,300,33.0,37.0,17,3,13,11,63.0,63.0,64.0,64.5,37.0,38.5,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",0,12
16,16,Andre Petroski,Nick Maximov,middleweight,submission,1.0,76,30.0,24.0,7,1,8,0,72.0,72.0,73.0,76.0,39.0,42.0,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",7,7
17,17,Charles Oliveira,Justin Gaethje,lightweight,submission,1.0,202,32.0,33.0,32,8,23,3,70.0,71.0,74.0,70.0,41.0,40.0,UFC 274,"May 7, 2022",7,6
18,18,Carla Esparza,Rose Namajunas (c),women's strawweight,decision,5.0,300,34.0,30.0,18,6,11,4,61.0,72.0,63.0,72.0,35.0,40.0,UFC 274,"May 7, 2022",0,12
19,19,Michael Chandler,Tony Ferguson,lightweight,ko,2.0,17,36.0,38.0,22,7,25,6,68.0,71.0,71.5,76.5,37.5,40.5,UFC 274,"May 7, 2022",3,6
20,20,Ovince Saint Preux,Maurício Rua,light heavyweight,decision,3.0,300,39.0,40.0,25,16,27,12,75.0,73.0,80.0,76.0,45.0,40.5,UFC 274,"May 7, 2022",0,5
21,21,Randy Brown,Khaos Williams,welterweight,decision,3.0,300,31.0,28.0,14,4,13,2,75.0,72.0,78.0,77.0,45.5,41.0,UFC 274,"May 7, 2022",0,8
22,22,Francisco Trinaldo,Danny Roberts,welterweight,decision,3.0,300,43.0,34.0,27,8,18,5,69.0,73.0,70.0,74.0,40.5,42.0,UFC 274,"May 7, 2022",0,8
23,23,Macy Chiasson,Norma Dumont,catchweight,decision,3.0,300,30.0,31.0,7,2,7,1,71.0,67.0,72.0,67.0,42.0,38.5,UFC 274,"May 7, 2022",0,1
24,24,Brandon Royval,Matt Schnell,flyweight,submission,1.0,134,29.0,32.0,13,6,15,5,69.0,68.0,68.0,70.0,38.5,38.0,UFC 274,"May 7, 2022",7,3
25,25,Blagoy Ivanov,Marcos Rogério de Lima,heavyweight,decision,3.0,300,35.0,36.0,18,4,19,7,71.0,73.0,73.0,75.0,42.0,43.0,UFC 274,"May 7, 2022",0,4
26,26,Tracy Cortez,Melissa Gatto,women's flyweight,decision,3.0,300,28.0,26.0,9,1,8,0,65.0,65.0,65.5,69.0,38.5,38.0,UFC 274,"May 7, 2022",0,11
27,27,Lupita Godinez,Ariane Carnelossi,women's strawweight,decision,3.0,300,28.0,29.0,7,2,14,2,62.0,62.0,61.0,61.5,35.0,35.0,UFC 274,"May 7, 2022",0,12
28,28,Marlon Vera,Rob Font,catchweight,decision,5.0,300,29.0,34.0,18,7,19,5,68.0,68.0,70.5,71.5,40.5,38.5,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,1
29,29,Andrei Arlovski,Jake Collier,heavyweight,decision,3.0,300,43.0,33.0,33,20,13,6,75.0,75.0,77.0,78.5,44.0,43.5,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,4
30,30,Grant Dawson,Jared Gordon,lightweight,submission,3.0,251,28.0,33.0,17,1,18,4,70.0,69.0,72.0,68.0,40.0,38.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",7,6
31,31,Darren Elkins,Tristan Connelly,featherweight,decision,3.0,300,37.0,36.0,26,10,14,7,70.0,70.0,71.0,68.0,39.0,41.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,2
32,32,Krzysztof Jotko,Gerald Meerschaert,middleweight,decision,3.0,300,32.0,34.0,23,5,34,14,73.0,73.0,77.0,77.5,41.0,40.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",0,7
33,33,Alexander Romanov,Chase Sherman,heavyweight,submission,1.0,131,31.0,32.0,15,0,15,9,74.0,76.0,75.0,78.0,43.0,43.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",7,4
34,34,Shanna Young,Gina Mazany,women's flyweight,tko,2.0,191,31.0,33.0,7,4,7,5,67.0,66.0,65.0,68.5,39.0,38.0,UFC on ESPN: Font vs. Vera,"April 30, 2022",8,11
35,35,Jéssica Andrade,Amanda Lemos,women's strawweight,submission,1.0,193,30.0,34.0,22,9,11,1,61.5,64.0,62.0,65.0,35.0,36.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,12
36,36,Claudio Puelles,Clay Guida,lightweight,submission,1.0,181,26.0,40.0,11,2,37,21,70.0,67.0,72.0,70.0,40.0,38.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,6
37,37,Maycee Barber,Montana De La Rosa,women's flyweight,decision,3.0,300,23.0,27.0,9,2,12,6,65.0,67.0,65.0,68.0,38.0,37.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",0,11
38,38,Charles Jourdain,Lando Vannata,featherweight,submission,1.0,152,26.0,30.0,12,4,12,5,69.0,69.0,69.0,71.0,39.0,39.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,2
39,39,Marc-André Barriault,Jordan Wright,catchweight,submission,1.0,156,32.0,30.0,13,5,12,2,73.0,74.0,74.0,77.0,42.5,41.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",7,1
40,40,Sergey Khandozhko,Dwight Grant,welterweight,tko,2.0,255,29.0,37.0,26,6,11,4,73.0,73.0,74.0,76.0,40.0,44.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",8,8
41,41,Tyson Pedro,Ike Villanueva,light heavyweight,ko,1.0,295,30.0,30.0,7,3,18,13,75.0,72.0,79.0,72.0,43.5,40.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",3,5
42,42,Philipe Lins,Marcin Prachnio,light heavyweight,decision,3.0,300,36.0,33.0,14,5,15,5,74.0,75.0,78.0,74.0,42.5,42.0,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022",0,5
43,43,Belal Muhammad,Vicente Luque,welterweight,decision,5.0,300,33.0,30.0,20,3,21,7,71.0,71.0,72.0,75.5,40.0,38.0,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022",0,8
44,44,André Fialho,Miguel Baeza,welterweight,tko,1.0,279,28.0,29.0,14,4,10,2,72.0,74.0,74.0,74.5,41.0,41.0,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022",8,8
45,45,Mayra Bueno Silva,Wu Yanan,women's bantamweight,decision,3.0,300,30.0,26.0,7,2,12,4,66.0,68.0,66.5,66.0,39.0,39.0,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022",0,9
46,46,Devin Clark,William Knight,heavyweight,tko,3.0,201,32.0,34.0,12,6,11,3,72.0,70.0,75.0,73.0,41.0,40.0,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022",8,4
47,47,Pannie Kianzad,Lina Länsberg,women's bantamweight,decision,3.0,300,30.0,40.0,15,6,10,5,67.0,67.0,68.0,65.5,39.0,39.5,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022",0,9
48,48,Rafa García,Jesse Ronson,lightweight,submission,2.0,290,27.0,37.0,13,2,21,10,67.0,70.0,70.0,70.0,37.0,39.0,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022",7,6
49,49,Alateng Heili,Kevin Croom,bantamweight,tko,1.0,47,29.0,34.0,14,8,21,14,71.0,71.0,72.0,73.5,40.0,39.0,UFC on ESPN: Luque vs. Muhammad 2,"April 16, 2022",8,0
50,50,Alexander Volkanovski (c),Chan Sung Jung,featherweight,tko,4.0,45,29.0,35.0,23,1,17,6,71.0,67.0,72.0,72.0,40.0,38.5,UFC 273,"April 9, 2022",8,2
51,51,Aljamain Sterling (c),Petr Yan (ic),bantamweight,decision,5.0,300,29.0,30.0,20,3,16,2,71.0,72.0,72.0,72.0,40.0,40.0,UFC 273,"April 9, 2022",0,0
52,52,Khamzat Chimaev,Gilbert Burns,welterweight,decision,3.0,300,27.0,35.0,10,0,20,4,74.0,70.0,75.0,71.0,40.0,40.0,UFC 273,"April 9, 2022",0,8
53,53,Mark Madsen,Vinc Pichel,lightweight,decision,3.0,300,37.0,39.0,11,0,14,2,68.0,70.0,72.0,72.0,39.0,40.5,UFC 273,"April 9, 2022",0,6
54,54,Raquel Pennington,Aspen Ladd,women's bantamweight,decision,3.0,300,33.0,27.0,13,8,9,2,67.0,66.0,67.5,66.0,37.0,38.5,UFC 273,"April 9, 2022",0,9
55,55,Alexey Oleynik,Jared Vanderaa,heavyweight,submission,1.0,219,29.0,30.0,59,16,12,7,71.0,76.0,72.0,80.0,40.0,43.0,UFC 273,"April 9, 2022",7,4
56,56,Curtis Blaydes,Chris Daukaus,heavyweight,tko,2.0,17,31.0,32.0,15,3,12,4,76.0,75.0,80.0,76.0,46.0,43.0,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",8,4
57,57,Alexa Grasso,Joanne Wood,women's flyweight,submission,1.0,237,28.0,36.0,13,3,15,7,65.0,66.0,66.0,65.5,37.5,38.5,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",7,11
58,58,Bryan Barberena,Matt Brown,welterweight,decision,3.0,300,32.0,41.0,16,8,23,18,72.0,72.0,72.5,75.0,39.0,43.0,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",0,8
59,59,Kai Kara-France,Askar Askarov,flyweight,decision,3.0,300,29.0,29.0,23,9,14,0,64.0,66.0,69.0,67.0,37.0,36.0,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",0,3
60,60,Neil Magny,Max Griffin,welterweight,decision,3.0,300,34.0,36.0,25,8,18,8,75.0,71.0,80.0,76.0,45.0,41.0,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",0,8
61,61,Sara McMann,Karol Rosa,women's bantamweight,decision,3.0,300,41.0,27.0,12,6,15,3,66.0,65.0,66.0,67.5,37.0,36.0,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",0,9
62,62,Chris Gutiérrez,Danaa Batgerel,bantamweight,tko,2.0,154,30.0,32.0,17,4,12,2,69.0,67.0,67.0,70.0,39.0,36.5,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",8,0
63,63,Manon Fiorot,Jennifer Maia,women's flyweight,decision,3.0,300,32.0,33.0,8,1,19,8,67.0,64.0,65.0,64.0,38.0,38.0,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",0,11
64,64,Matheus Nicolau,David Dvořák,flyweight,decision,3.0,300,29.0,29.0,17,2,20,3,66.0,65.0,66.0,68.5,38.0,37.0,UFC on ESPN: Blaydes vs. Daukaus,"March 26, 2022",0,3
65,65,Tom Aspinall,Alexander Volkov,heavyweight,submission,1.0,225,28.0,33.0,11,2,34,9,77.0,79.0,78.0,80.0,44.0,47.5,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",7,4
66,66,Arnold Allen,Dan Hooker,featherweight,tko,1.0,153,28.0,32.0,17,1,21,11,68.0,72.0,70.0,75.0,39.0,42.5,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",8,2
67,67,Paddy Pimblett,Kazula Vargas,lightweight,submission,1.0,230,27.0,36.0,17,3,12,4,70.0,68.0,73.0,71.5,40.0,37.0,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",7,6
68,68,Gunnar Nelson,Takashi Sato,welterweight,decision,3.0,300,33.0,31.0,17,5,16,4,71.0,70.0,72.0,73.0,39.5,41.0,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",0,8
69,69,Molly McCann,Luana Carolina,women's flyweight,ko,3.0,112,31.0,28.0,11,4,8,2,64.0,66.0,62.0,69.0,37.0,38.5,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",3,11
70,70,Ilia Topuria,Jai Herbert,lightweight,ko,2.0,67,25.0,34.0,11,0,11,3,67.0,73.0,69.0,77.0,37.0,41.0,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",3,6
71,71,Makwan Amirkhani,Mike Grundy,featherweight,submission,1.0,57,33.0,35.0,16,7,12,3,70.0,67.0,72.0,72.0,41.0,38.0,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",7,2
72,72,Sergei Pavlovich,Shamil Abdurakhimov,heavyweight,tko,1.0,243,29.0,40.0,14,1,20,6,75.0,75.0,84.0,76.0,45.0,41.5,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",8,4
73,73,Paul Craig,Nikita Krylov,light heavyweight,submission,1.0,237,34.0,30.0,15,4,27,8,75.5,75.0,76.0,77.5,43.0,44.5,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",7,5
74,74,Jack Shore,Timur Valiev,bantamweight,decision,3.0,300,26.0,32.0,15,0,18,2,68.0,66.0,71.0,67.0,40.0,38.0,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022",0,0
75,75,Magomed Ankalaev,Thiago Santos,light heavyweight,decision,5.0,300,29.0,38.0,16,1,22,9,75.0,74.0,75.0,76.0,46.0,42.5,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022",0,5
76,76,Song Yadong,Marlon Moraes,bantamweight,ko,1.0,126,24.0,33.0,18,5,23,9,68.0,66.0,67.0,67.0,38.0,37.0,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022",3,0
77,77,Sodiq Yusuff,Alex Caceres,featherweight,decision,3.0,300,28.0,33.0,11,2,19,12,69.0,70.0,71.0,73.5,40.0,41.0,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022",0,2
78,78,Khalil Rountree Jr.,Karl Roberson,light heavyweight,tko,2.0,25,32.0,31.0,9,5,9,4,73.0,73.0,76.5,74.0,44.0,41.0,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022",8,5
79,79,Drew Dober,Terrance McKinney,lightweight,tko,1.0,197,33.0,27.0,23,11,12,3,68.0,70.0,70.0,73.5,35.0,40.0,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022",8,6
80,80,JJ Aldrich,Gillian Robertson,women's flyweight,decision,3.0,300,29.0,26.0,10,4,10,6,65.0,65.0,67.5,63.0,37.0,35.5,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022",0,11
81,81,Miranda Maverick,Sabina Mazo,women's flyweight,submission,2.0,135,24.0,25.0,9,4,9,3,63.5,67.0,65.5,70.0,38.0,40.5,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022",7,11
82,82,Colby Covington,Jorge Masvidal,welterweight,decision,5.0,300,34.0,37.0,16,3,35,15,71.0,71.0,72.0,74.0,41.0,39.5,UFC 272,"March 5, 2022",0,8
83,83,Rafael dos Anjos,Renato Moicano,catchweight,decision,5.0,300,37.0,32.0,30,13,16,4,68.0,71.0,70.0,72.0,38.0,42.5,UFC 272,"March 5, 2022",0,1
84,84,Bryce Mitchell,Edson Barboza,featherweight,decision,3.0,300,27.0,36.0,14,0,22,10,70.0,71.0,70.0,75.0,40.0,41.0,UFC 272,"March 5, 2022",0,2
85,85,Kevin Holland,Alex Oliveira,welterweight,tko,2.0,38,29.0,34.0,21,7,22,11,75.0,71.0,81.0,76.5,40.0,43.0,UFC 272,"March 5, 2022",8,8
86,86,Jalin Turner,Jamie Mullarkey,lightweight,tko,2.0,46,26.0,27.0,11,5,14,4,75.0,72.0,77.0,74.0,46.0,39.0,UFC 272,"March 5, 2022",8,6
87,87,Marina Rodriguez,Yan Xiaonan,women's strawweight,decision,3.0,300,34.0,32.0,15,1,15,2,66.0,65.0,65.0,63.0,38.5,37.0,UFC 272,"March 5, 2022",0,12
88,88,Nicolae Negumereanu,Kennedy Nzechukwu,light heavyweight,decision,3.0,300,27.0,29.0,11,1,9,2,72.5,77.0,78.0,83.0,40.0,47.0,UFC 272,"March 5, 2022",0,5
89,89,Maryna Moroz,Mariya Agapova,women's flyweight,submission,2.0,207,30.0,24.0,10,3,10,2,67.0,66.0,67.0,68.5,37.0,38.5,UFC 272,"March 5, 2022",7,11
90,90,Tim Elliott,Tagir Ulanbekov,flyweight,decision,3.0,300,35.0,30.0,17,12,14,1,67.0,67.0,66.0,70.0,38.0,39.0,UFC 272,"March 5, 2022",0,3
91,91,Ľudovít Klein,Devonte Smith,lightweight,decision,3.0,300,27.0,28.0,17,4,11,3,67.0,69.0,72.5,76.0,41.0,41.0,UFC 272,"March 5, 2022",0,6
92,92,Islam Makhachev,Bobby Green,catchweight,tko,1.0,203,30.0,35.0,21,1,29,12,70.0,70.0,70.5,71.0,40.5,40.0,UFC Fight Night: Makhachev vs. Green,"February 26, 2022",8,1
93,93,Wellington Turman,Misha Cirkunov,middleweight,submission,2.0,89,25.0,36.0,17,5,15,7,72.0,75.0,72.0,77.0,41.0,43.5,UFC Fight Night: Makhachev vs. Green,"February 26, 2022",7,7
94,94,Priscila Cachoeira,Ji Yeon Kim,women's flyweight,decision,3.0,300,33.0,32.0,10,4,9,4,67.0,67.0,65.0,72.0,37.0,37.5,UFC Fight Night: Makhachev vs. Green,"February 26, 2022",0,11
95,95,Arman Tsarukyan,Joel Álvarez,lightweight,tko,2.0,117,25.0,29.0,17,2,19,2,67.0,74.0,72.5,77.0,39.5,42.0,UFC Fight Night: Makhachev vs. Green,"February 26, 2022",8,6
96,96,Ignacio Bahamondes,Rong Zhu,catchweight,submission,3.0,100,24.0,30.0,12,4,21,4,75.0,72.0,75.5,72.0,42.0,40.0,UFC Fight Night: Makhachev vs. Green,"February 26, 2022",7,1
97,97,Terrance McKinney,Farès Ziam,lightweight,submission,1.0,131,27.0,25.0,11,3,12,3,70.0,73.0,73.5,75.0,40.0,42.0,UFC Fight Night: Makhachev vs. Green,"February 26, 2022",7,6
98,98,Jonathan Martinez,Alejandro Pérez,featherweight,decision,3.0,300,28.0,32.0,14,4,22,8,68.0,66.0,70.0,67.0,37.5,36.5,UFC Fight Night: Makhachev vs. Green,"February 26, 2022",0,2
99,99,Jamahal Hill,Johnny Walker,light heavyweight,ko,1.0,175,30.0,29.0,9,1,18,6,76.0,78.0,79.0,82.0,43.5,44.5,UFC Fight Night: Walker vs. Hill,"February 19, 2022",3,5
100,100,Kyle Daukaus,Jamie Pickett,catchweight,submission,1.0,299,29.0,33.0,10,2,13,6,75.0,74.0,76.0,82.0,43.0,45.0,UFC Fight Night: Walker vs. Hill,"February 19, 2022",7,1
101,101,Parker Porter,Alan Baudot,heavyweight,decision,3.0,300,37.0,34.0,11,6,8,2,72.0,75.0,75.0,79.0,41.0,44.0,UFC Fight Night: Walker vs. Hill,"February 19, 2022",0,4
102,102,Joaquin Buckley,Abdul Razak Alhassan,middleweight,decision,3.0,300,27.0,36.0,13,4,11,4,70.0,70.0,76.0,73.0,40.0,39.0,UFC Fight Night: Walker vs. Hill,"February 19, 2022",0,7
103,103,Stephanie Egger,Jessica-Rose Clark,women's bantamweight,submission,1.0,224,33.0,34.0,6,2,11,6,66.0,65.0,68.0,64.5,38.5,39.0,UFC Fight Night: Walker vs. Hill,"February 19, 2022",7,9
104,104,Gloria de Paula,Diana Belbiţă,women's strawweight,decision,3.0,300,26.0,25.0,5,4,14,6,65.0,67.0,67.5,68.0,37.0,38.0,UFC Fight Night: Walker vs. Hill,"February 19, 2022",0,12
105,105,Israel Adesanya (c),Robert Whittaker,middleweight,decision,5.0,300,29.0,31.0,21,1,23,5,71.0,72.0,72.0,73.5,40.0,43.0,UFC 271,"February 12, 2022",0,7
106,106,Tai Tuivasa,Derrick Lewis,heavyweight,ko,2.0,100,29.0,37.0,13,3,26,8,74.0,75.0,75.0,79.0,39.5,43.5,UFC 271,"February 12, 2022",3,4
107,107,Jared Cannonier,Derek Brunson,middleweight,ko,2.0,269,38.0,38.0,14,5,23,7,71.0,73.0,77.5,77.0,41.5,43.0,UFC 271,"February 12, 2022",3,7
108,108,Renato Moicano,Alexander Hernandez,lightweight,submission,2.0,83,32.0,29.0,15,4,13,4,71.0,69.0,72.0,72.0,42.5,39.5,UFC 271,"February 12, 2022",7,6
109,109,Bobby Green,Nasrat Haqparast,lightweight,decision,3.0,300,35.0,26.0,28,12,13,4,70.0,70.0,71.0,72.0,40.0,41.0,UFC 271,"February 12, 2022",0,6
110,110,Andrei Arlovski,Jared Vanderaa,heavyweight,decision,3.0,300,43.0,30.0,32,20,12,6,75.0,76.0,77.0,80.0,44.0,43.0,UFC 271,"February 12, 2022",0,4
111,111,Casey O'Neill,Roxanne Modafferi,women's flyweight,decision,3.0,300,29.0,39.0,8,0,25,19,71.0,67.0,72.0,69.0,40.0,38.0,UFC 271,"February 12, 2022",0,11
112,112,Douglas Silva de Andrade,Sergey Morozov,bantamweight,submission,2.0,204,36.0,32.0,27,4,17,4,67.0,66.0,68.5,67.0,37.5,37.0,UFC 271,"February 12, 2022",7,0
113,113,Maxim Grishin,William Knight,heavyweight,decision,3.0,300,37.0,34.0,31,9,11,2,75.0,70.0,78.0,73.0,43.5,40.0,UFC 271,"February 12, 2022",0,4
114,114,Sean Strickland,Jack Hermansson,middleweight,decision,5.0,300,31.0,33.0,24,3,22,6,73.0,73.0,76.0,77.5,41.5,46.5,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",0,7
115,115,Nick Maximov,Punahele Soriano,middleweight,decision,3.0,300,24.0,29.0,7,0,8,1,72.0,71.0,76.0,72.5,42.0,41.0,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",0,7
116,116,Shavkat Rakhmonov,Carlston Harris,welterweight,ko,1.0,250,27.0,34.0,14,0,17,4,73.0,72.0,77.0,76.0,42.0,42.0,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",3,8
117,117,Brendan Allen,Sam Alvey,light heavyweight,submission,2.0,130,26.0,35.0,17,5,33,16,74.0,74.0,75.0,75.5,42.0,42.0,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",7,5
118,118,Julian Erosa,Steven Peterson,catchweight,decision,3.0,300,32.0,31.0,26,9,19,9,73.0,70.0,74.5,70.0,41.0,39.5,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",0,1
119,119,John Castañeda,Miles Johns,bantamweight,submission,3.0,98,30.0,27.0,18,5,12,1,66.0,67.0,71.0,68.0,37.0,37.5,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",7,0
120,120,Hakeem Dawodu,Michael Trizano,featherweight,decision,3.0,300,30.0,30.0,12,2,9,1,68.0,71.0,73.5,71.0,40.5,40.0,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",0,2
121,121,Chidi Njokuani,Marc-André Barriault,middleweight,ko,1.0,16,33.0,32.0,20,7,13,4,75.0,73.0,80.0,74.0,45.0,42.5,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",3,7
122,122,Alexis Davis,Julija Stoliarenko,women's bantamweight,decision,3.0,300,37.0,28.0,20,11,9,5,66.0,67.0,68.0,66.0,37.5,38.0,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",0,9
123,123,Philip Rowe,Jason Witt,welterweight,tko,2.0,135,31.0,35.0,8,3,19,7,75.0,70.0,80.5,70.0,44.0,40.0,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022",8,8
124,124,Deiveson Figueiredo,Brandon Moreno (c),flyweight,decision,5.0,300,34.0,30.0,20,2,19,5,65.0,72.0,68.0,72.0,38.0,40.0,UFC 270,"January 22, 2022",0,3
125,125,Michel Pereira,André Fialho,welterweight,decision,3.0,300,28.0,28.0,26,11,14,3,73.0,72.0,73.0,74.0,42.0,41.0,UFC 270,"January 22, 2022",0,8
126,126,Said Nurmagomedov,Cody Stamann,bantamweight,submission,1.0,47,29.0,32.0,14,2,19,4,68.0,66.5,70.0,64.5,38.5,35.0,UFC 270,"January 22, 2022",7,0
127,127,Jake Collier,Chase Sherman,heavyweight,submission,1.0,146,33.0,32.0,12,6,15,8,75.0,76.0,78.5,78.0,43.5,43.0,UFC on ESPN: Kattar vs. Chikadze,"January 15, 2022",7,4
128,128,Brandon Royval,Rogério Bontorin,flyweight,decision,3.0,300,29.0,29.0,12,6,16,3,69.0,65.0,68.0,67.0,38.5,35.5,UFC on ESPN: Kattar vs. Chikadze,"January 15, 2022",0,3
129,129,Katlyn Chookagian,Jennifer Maia,women's flyweight,decision,3.0,300,33.0,33.0,16,4,19,7,69.0,64.0,68.0,64.0,42.0,38.0,UFC on ESPN: Kattar vs. Chikadze,"January 15, 2022",0,11
